LocationID,LONGITUDE,LATITUDE,EventDate,DateRange,Autres_incendies,Sum_Autres_incendies,Incendie_de_batiments,Sum_Incendie_de_batiments,Premier_Repondant,Sum_Premier_Repondant,Sans_incendie,Sum_Sans_incendie,Crime,Sum_Crime,Alarmes_incendies,Sum_Alarmes_incendies,False_Alertes_Annulations,Sum_False_Alertes_Annulations,LookAHead,TotalFires,Couples_No_Children,CouplesWithChildren,SizeOF House,Detached_House,Appartment_FiveFloors,OtherType,Semi_detached,TownHouse,Duplex,Appartment_less_5Florrs,OtherDtached,MObileHome,LandLord,Renter,1_4Rooms,5_rooms,6_rooms,7_rooms,8_RoomsOrmore,Average_Rooms,Simple_Maintenance,Major_repairs,Median_house_value,Average_House_Value,AverageHouseholdIncome2015,MedianHouseholdIncome2015,Avg_flors,Avg_YearBuilt,Avg_LandArea,Avg_HomeArea,Fire_Y_N,Fire_next6Months_Y_N
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2009-04-01,2008-10-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2009-09-30,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2009-06-14,2008-12-14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2009-12-13,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2010-03-23,2009-09-22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2010-09-21,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2010-05-28,2009-11-27,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2010-11-26,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2010-09-29,2010-03-31,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2011-03-30,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2012-04-28,2011-10-29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2012-10-27,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2012-06-11,2011-12-12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-10,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2014-06-08,2013-12-08,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2014-12-07,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2014-08-30,2014-03-01,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2015-02-28,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
-73.4801081700675_45.7013827542711,-73.480108170067500,45.701382754271100,2014-09-01,2014-03-03,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2015-03-02,0,6702.621455,7260.455981,2.205150768,4597.767171,1612.198412,23435.4219,2508.936513,1907.170181,2433.181003,16509.90121,68.57968027,10.4114779,14835.13532,14818.84907,13733.45452,6221.370992,3327.872252,2679.505451,3691.078267,5.061720263,27751.87203,1901.615194,299546.9965,317330.1382,66659.88996,54993.7731,1.475,1971.7,474.46875,151.575,0,0
