House for sale in Dollard-Des Ormeaux - $1688000,245 Rue  Montpellier Dollard-Des Ormeaux Neighbourhood Central,17 Rooms  4+0 Bedrooms  4+1 Bathrooms/Powder rooms  ,1688000,45.47986468,-73.82303568,Two or more storey Detached,2008,9700 sqft,Driveway (4) Garage (2),
Condo for sale in Ville-Marie (Montréal) - $429000,1449 Rue  Saint-Alexandre apt. 408 Ville-Marie (Montr&#233;al) Neighbourhood Central,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,429000,45.50599111,-73.56872629,Divided,1928,875 sqft,Garage (1),Adapted for reduced mobility Elevator
Condo for sale in Ville-Marie (Montréal) - $574900,690 Rue  Saint-Andr&#233; Ville-Marie (Montr&#233;al) Neighbourhood Central,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,574900,45.513885,-73.551561,Divided,2001,1571 sqft,Garage (1),
4plex for sale in Mercier/Hochelaga-Maisonneuve (Montréal) - $899000,6610 - 6614 Rue  Cabrini Mercier/Hochelaga-Maisonneuve (Montr&#233;al) Neighbourhood New Rosemont,,899000,45.58156505,-73.56707192,Detached,1962,5306 sqft,Driveway (2) Garage (2),Basement 6 feet or +
Condo for sale in Le Sud-Ouest (Montréal) - $439000,350 Rue  Eleanor apt. 302 Le Sud-Ouest (Montr&#233;al) Neighbourhood Griffintown,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,439000,45.492684,-73.562522,Divided,2018,748 sqft,,Elevator
5plex for sale in Villeray/Saint-Michel/Parc-Extension (Montréal) - $995000,7066 - 7074 Avenue  L&#233;onard-De Vinci Villeray/Saint-Michel/Parc-Extension (Montr&#233;al) Neighbourhood Saint-Michel,,995000,45.562388,-73.592296,Detached,1953,4536 sqft,,Basement 6 feet or +
House for sale in Outremont (Montréal) - $2495000,615 Avenue  Dunlop Outremont (Montr&#233;al),17 Rooms  6+0 Bedrooms  4+1 Bathrooms/Powder rooms  ,2495000,45.51263547,-73.61446549,Two or more storey Detached,1928,8330 sqft,Garage (1),
Condo for sale in Ahuntsic-Cartierville (Montréal) - $159000,12025 Avenue  De Poutrincourt apt. 204 Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Nouveau Bordeaux,3 Rooms  1+0 Bathroom/Powder room  ,159000,45.53762846,-73.69999583,Divided,2013,,,Elevator
Lot for sale in Le Sud-Ouest (Montréal) - $999000 +GST/QST,1909 Rue  Wellington Le Sud-Ouest (Montr&#233;al) Neighbourhood Pointe-Saint-Charles,,999000,45.480401,-73.558808,,,2955 sqft,,
Triplex for sale in Ahuntsic-Cartierville (Montréal) - $519000,9870 - 9874 Avenue  Merritt Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Ahuntsic East,,519000,45.569467,-73.645914,Semi-detached,1956,2511 sqft,Driveway (1) Garage (1),Basement 6 feet or +
Condo for sale in Saint-Laurent (Montréal) - $275000,4700 boulevard  Henri-Bourassa Ouest apt. 510 Saint-Laurent (Montr&#233;al) Neighbourhood Others,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,275000,45.52308239,-73.70455939,Divided,2012,733 sqft,Garage (1),Elevator
House for sale in Verdun/Île-des-Soeurs (Montréal) - $800000,3890 Rue  Allen Verdun/&#206;le-des-Soeurs (Montr&#233;al) Neighbourhood Verdun,14 Rooms  4+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,800000,45.464995,-73.564307,Two or more storey Semi-detached,1912,2019 sqft,,Basement 6 feet or +
House for sale in Anjou (Montréal) - $799000,7650 Place d&#39;Aubigny Anjou (Montr&#233;al),15 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,799000,45.59939685,-73.55063717,Split-level Detached,1961,7815 sqft,Driveway (2) Garage (1),Basement 6 feet or +
4plex for sale in Ahuntsic-Cartierville (Montréal) - $1100000 +GST/QST,1585 Rue  Viel Ahuntsic-Cartierville (Montr&#233;al) Neighbourhood Nouveau Bordeaux,,1100000,45.543142,-73.697652,Detached,1989,5556 sqft,Driveway (6),
4plex for sale in Mercier/Hochelaga-Maisonneuve (Montréal) - $599500,725 Avenue  Guybourg Mercier/Hochelaga-Maisonneuve (Montr&#233;al) Neighbourhood Mercier,,599500,45.570486,-73.522574,Attached,1968,2309 sqft,,
Condo for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $179900,1448 Avenue  Yves-Th&#233;riault Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Pointe-aux-Trembles,5 Rooms  0+2 Bedrooms  1+1 Bathrooms/Powder rooms  ,179900,45.67828364,-73.49671966,Divided,1992,856 sqft,Driveway (1),Basement 6 feet or +
Condo for sale in Dollard-Des Ormeaux - $389000,80 Rue  Barnett apt. 301 Dollard-Des Ormeaux Neighbourhood Central,7 Rooms  2+0 Bedrooms  2+0 Bathrooms/Powder rooms  ,389000,45.477919,-73.837164,Divided,2011,1207 sqft,Garage (1),Elevator
House for sale in Rivière-des-Prairies/Pointe-aux-Trembles (Montréal) - $339000,12037 70e Avenue Rivi&#232;re-des-Prairies/Pointe-aux-Trembles (Montr&#233;al) Neighbourhood Rivi&#232;re-des-Prairies,12 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,339000,45.655352,-73.555044,Two or more storey Semi-detached,1988,3884 sqft,,
House for sale in Mont-Royal - $1790000,3105 boulevard  Graham Mont-Royal,8 Rooms  3+0 Bedrooms  2+1 Bathrooms/Powder rooms  ,1790000,45.50956934,-73.65952934,Bungalow Detached,1952,10200 sqft,Driveway (4) Garage (1),Basement 6 feet or +
House for sale in Dollard-Des Ormeaux - $1688000,245 Rue  Montpellier Dollard-Des Ormeaux Neighbourhood Central,17 Rooms  4+0 Bedrooms  4+1 Bathrooms/Powder rooms  ,1688000,45.47986468,-73.82303568,Two or more storey Detached,2008,9700 sqft,Driveway (4) Garage (2),
Condo for sale in Ville-Marie (Montréal) - $429000,1449 Rue  Saint-Alexandre apt. 408 Ville-Marie (Montr&#233;al) Neighbourhood Central,4 Rooms  1+0 Bedroom  1+0 Bathroom/Powder room  ,429000,45.50599111,-73.56872629,Divided,1928,875 sqft,Garage (1),Adapted for reduced mobility Elevator
Condo for sale in Ville-Marie (Montréal) - $574900,690 Rue  Saint-Andr&#233; Ville-Marie (Montr&#233;al) Neighbourhood Central,7 Rooms  3+0 Bedrooms  1+1 Bathrooms/Powder rooms  ,574900,45.513885,-73.551561,Divided,2001,1571 sqft,Garage (1),
4plex for sale in Mercier/Hochelaga-Maisonneuve (Montréal) - $899000,6610 - 6614 Rue  Cabrini Mercier/Hochelaga-Maisonneuve (Montr&#233;al) Neighbourhood New Rosemont,,899000,45.58156505,-73.56707192,Detached,1962,5306 sqft,Driveway (2) Garage (2),Basement 6 feet or +
Condo for sale in Le Sud-Ouest (Montréal) - $439000,350 Rue  Eleanor apt. 302 Le Sud-Ouest (Montr&#233;al) Neighbourhood Griffintown,5 Rooms  2+0 Bedrooms  1+0 Bathroom/Powder room  ,439000,45.492684,-73.562522,Divided,2018,748 sqft,,Elevator
